chr	start	end	decoyID	SpliceAI_score	strand	rbpnet	prpf8	smb	n_categories	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Adipose_b	Adipose_c	Adipose_d	Adrenal_b	Adrenal_c	Amnion	Astrocytes	Bladder_a	Bone_marrow_a	Bone_marrow_b	Bone_marrow_c	Brain_Endoth	Breast_a	Breast_Epith_a	Cerebellum_a	Cerebellum_c	Chorion	CL_293T	CL_EndoBH1C_a	CL_Gm12878	CL_HeLa	CL_K562	CL_LP1	CL_MB231	CL_MCF7	CL_PNT2	CL_SHSY5Y_noRA	CL_SHSY5Y_RA	Colon_b	Colon_sigmoid	Colon_transverse	Cortex	Decidua	Embr_2C_a_A	Embr_2C_a_B	Embr_4C_a_A	Embr_4C_a_B	Embr_4C_a_C	Embr_8C_a_A	Embr_8C_a_B	Embr_8C_a_C	Embr_8C_a_D	Embr_Cortex_13_17wpc	Embr_Forebrain_9_12wpc	Embr_Forebrain_St13_14	Embr_Forebrain_St17_20	Embr_Forebrain_St22_23	Embr_ICM_a_A	Embr_Morula_a_A	Embr_Morula_a_B	Embr_TE_a_A	Embr_TE_a_B	EndomStromCells	EndothCells	EpithelialCells	ESC_H1_a	ESC_H1_b	ESC_H1_c	ESC_H1_d	ESC_H9_a	ESC_H9_b	Fibroblasts	Frontal_Gyrus_old	Frontal_Gyrus_young	GLS_cells	Heart_a	Heart_b	Heart_c	HFDPC	HMEpC_a	iPS_a	iPS_b	Kidney_d	Kidney_e	Kidney_f	Liver_a	Liver_b	Liver_c	Lung_b	Lung_e	Lung_f	Lymph_node_b	Lymph_node_c	Melanocytes	Microglia	MonoNucCells	MSC	Muscle_b	Muscle_d	Muscle_e	NCC_Cranial_c	NCC_default_b	NCC_Enteric_b	NCC_Melano_biased_b	Neuroblastoma	Neurons	Neurons_Cortex_KCl_0h	Neurons_Cortex_KCl_1h	Neurons_Cortex_KCl_6h	NPC_a	NPC_b	Oligodendrocytes	Oocyte_a_A	Ovary_a	Ovary_b	Pancreas_Acinar_Old	Pancreas_Acinar_Young	Pancreas_Alpha_Old	Pancreas_Alpha_Young	Pancreas_Beta_Old	Pancreas_Beta_Young	Pancreas_Duct_Old	Pancreas_Duct_Young	Placenta_a	Placenta_b	Placenta_c	Placenta_Epith	Prostate_b	Prostate_c	Prostate_d	Retina_a	Retina_macular	Retina_peripheral	Skin_a	Skin_b	Skin_c	Skin_d	Small_intestine	Spleen_a	Spleen_b	Stomach_a	Stomach_b	Sup_Temporal_Gyrus	Testis_a	Testis_b	Testis_c	Thymus_a	Thymus_b	Thyroid_b	Thyroid_c	Thyroid_d	WBC_d	WBC_e	Whole_Brain_b	Zygote_a_A	psi_chr	intron_start	intron_end	intron_length	decoy_coord_1based	decoy_distance_from_canonical_5ss
chr6	63704782	63704783	PHF3_63704782	0.246094	+	1	0	0	1	PHF3	HsaINT0124057	chr6:63703672-63706028	2357	chr6:63703536-63703671=63706029-63706224:+	IR	5.64	0.91	1.11	0	1.49	0	2	0.39	6.76	0.43	1.4	5.71	0	5.33	1.18	1.69	0	0.73	0.21	0.32	1.66	0.38	0	0	4.75	0.97	3.47	6.13	4.24	3.34	7.3	0	1.75	0	0	0	0	0	0	0	0	0	2.09	1.36	1.96	2.42	3.74	0	0	0	0	0	0	5.85	5.56	0	0.91	0	0	0	13.33	1.32	2.22	7.35	0.99	0	7.7	1.34	4.78	4.26	4.14	0	1.54	0	3.62	0	3.87	0.96	19	2.83	0.28	0	0.9	17.83	1.63	7.49	3.17	0	1.64	0.88	0.44	0	0.79	0	0.8	12.66	3.8	2.08	3.08	0	2.26	0.97	0	0	0.54	8.23	3.06	7.09	11.13	4.64	5.06	2.55	3.35	0.48	1.49	3.14	4.66	2.37	0.52	0.69	0	0.14	0.13	6.39	2.48	4.66	14.41	1.45	8.74	0.59	9.85	3.34	0	0.64	6.34	0.17	16.61	3.07	7.79	1.32	0.32	1.21	0	6.94	0	chr6	63703672	63706028	2357	63704783	1111
chr1	119736695	119736696	PHGDH_119736695	0.10026	+	0	1	0	1	PHGDH	HsaINT0124125	chr1:119735444-119737113	1670	chr1:119735295-119735443=119737114-119737266:+	IR	0.94	0.14	0.68	0	0	0	1.25	1.14	0	1.23	0		0	0.86	1.43	0.36	0	0.75	1.26	0.7	0.96	0.24	0.27	0	1.7	0	2.08	2.19	0	0	7.04	0.2	0						0				0.33	0.93	2.1	3.85	0.78	0	0	0	0	0	0	2.72	0.27	0.73	1.05	0.5	0.78	0.28	26.89	0.29	2.79	0	1.15	0	6.22	2.35	0.16	0.27	0.1	0.06	0	0	0	0.36	2.25	0.51	0	0	0.85	0.33	0.39	1.12		0	2.31	0	0	0	0.6	0.23	0.27	0	0		7.54	5.56	2.46	0.2	0.26	20.96		1.54	1.54	0.94	0	0	28.46	0	0	0	0.99	0.72	5.56	2.58	0.53	1.55	0.67	0.13	0	0.57	3.18	2.25	5.81	2.22	6.44	1.89	8.12	0	9.59	0.63	0.2	0	4.74	0.32	7.54	3.7	0.89	0.57	0	0	0	0.33		chr1	119735444	119737113	1670	119736696	1252
chr1	119737623	119737624	PHGDH_119737623	0.119335	+	0	1	0	1	PHGDH	HsaINT0124126	chr1:119737267-119740385	3119	chr1:119737114-119737266=119740386-119740518:+	IR	0.88	0.32	0.27	0	0	0	1.76	0.48	0	0	0.45	0	0	0.53	1.34	0.81	0	0.67	0.38	1.43	0.8	0.56	0.06	0	1.16	0.28	1.17	1.31	0	1.01	4.76	0.35	0						0	0	0		0.64	1.5	1.42	2.7	1.31	0	0	0	0	0	1.01	3.97	0.6	0.64	0.77	1.76	1.43	0.43	1.44	0.28	1.18	2.1	0.41	1.87	8.96	7.34	0.74	0.68	0.14	0.16	0	0	0.45	0.58	0.85	0.09	0.91	0.69	1.72	1.26	0.34	0.95		0	2.97	0	0	0	1.39	0.43	0.17	0.43	3.89		3.67	1.82	5.24	0.26	0	0.77		1.2	0.24	3.16	1.02	0.66	7.14	0	0	0.65	0.41	0	0	4.15	2.67	1.63	0.31	0.14	0	0	0	0.86	0.59	2.81	2.54	0	0	0	30.02	1.12	0.14	0.15	2.12	0.53	4.16	4.2	1.24	0.65	0.63	0	0	0.29		chr1	119737267	119740385	3119	119737624	357
chrX	18918554	18918555	PHKA2_18918554	0.100998	-	0	1	0	1	PHKA2	HsaINT0124212	chrX:18910961-18918680	7720	chrX:18918681-18918854=18910872-18910960:-	IR	1.98		0	0	2.75	2.07	3.94	0.69	19.73	3.27	1.06		0	8.5	0.32	3.17	1.99	0	2.7	0.96	1.37	0	0	0	3.78	0	5.11	7.44	3.04	3.89	5.16	0	0	23.91	0	0	0	0	0	13.58		0	0.64	1.5	1.5	0	1.6		0		0		0	11.02	4.23	0	0	0.96	0.49	0	17.64	0	1.29	0	3.22	2.26	0.99		0.76	2.09	6.38	1.06	9.48	0	3.13	1.59	5.96	0	6.12	2.27	0.41	0.5	0.47	0	22.76	37.46	0	0	0	0	2.1	1.01	0	0	3.14	100	3.42	5.91	0	0	0	0	0	0	1.65	15.93	7.83	16.64	18.98	12.26	11.9	15.78	12.12	0.68	14.66	6.95	1.18	10.07	0.7	1.92	0	0.39	0	3.28	17.71	21.71	16.06	4.02	10	0.46	10.64	14.01	0	0	6.98	0.14	13.33	24.89	4.68	1.71	0.6	1.44	0.28	3.6	0	chrX	18910961	18918680	7720	18918555	125
chrX	18930762	18930763	PHKA2_18930762	0.108889	-	1	1	0	2	PHKA2	HsaINT0124205	chrX:18929307-18931640	2334	chrX:18931641-18931748=18929228-18929306:-	IR	9.99		0.89	0	1.5	0	2.42	0.82	8.11	4.53	8.66	0	0	13.65	0.53	7.3	0	4.33	1.36	3.24	0	1.55	0	0	17.24	1.59	12.04	2.55	7.89	25.91	14.78	0	0	0	0		0	0	0	0			0.54	0.46	0.64	1.98	1.09		0				0	11.7	3.89	0.72	1.33	0	0.53	0	0	0	0	3.35	3.47	0	8.13		8.68	2.46	3.77	0	0	0	2.78	1.71	10.36	0.56	19.54	4.39	0.62	1.14	1.41	12.19	3.35	37.41	15.93	0	3.14	0	5.52	0	0	1.12	3.69	0	8.25	3.6	1.5	1.54	0	5.41		0	0	3.01	2.78	14.06	4.8	10.06	7.07	17.15	5.8	1.23	3.28	2.86	6.29	6.79	0	0	1.94	1.25	0.41	5.33	3.44	7.62	2.16	1.5	16.76	0.82	0	3.9	0	0	6.28	0.57	7.91	7.86	11.63	2.12	0	2.8	0.29	3.89	0	chrX	18929307	18931640	2334	18930763	877
chr16	47514799	47514800	PHKB_47514799	0.28704	+	0	0	1	1	PHKB	HsaINT0124257	chr16:47511773-47515520	3748	chr16:47511665-47511772=47515521-47515601:+	IR	16.23		0	0.88	2.37	0	18.87	0	6.67	1.69	5.95	4.76	3.6	11.24	1.12	6.15	0	0	0	0.9	0	0.71	0	0	2.36	0	4.2	7.36	1.44	1.32	6.4	0.87	0	0	0	0	0	0	0	0	0		3.44	4.32	2.21	5.62	6.44	0	0	0	0	0	0	3.24	2.36	0	1.49	0.63	0	0	0	0	1.15	5.45	1.96	0	3.33		1.43	1.71	2.56	2.22	0.84	0	1.49	0	3.16	2.47	9.09	1.47	0	0	2.3	0.5	0	2.46	3.01	0	0.8	0.11	1.77	0	0	0	0.52	20	6.26	8.49	6.47	0.54	2.65	13.67	0	0	0.46	14.89	0	6.76	16.08	8.22	3.76	21.79	14.22	0	3.57	4.55	1.18	4.59	0	0	5.26	1.13	0.3	23.18	4.91	12.52	6.9	2.22	12.43	1.12	1.92	6.43	0	0	23.38	1.89	13.95	9.29	6.96	1.52	0.21	0.46	0.71	3.45	0	chr16	47511773	47515520	3748	47514800	3027
chr16	47666352	47666353	PHKB_47666352	0.148896	+	1	0	1	2	PHKB	HsaINT0124249	chr16:47666033-47669214	3182	chr16:47665942-47666032=47669215-47669417:+	IR	17.53		2.18	1.46	2.19	2.69	7.25	0.97	26.26	5.89	8.22	0	22.56	20.41	3.25	4.63	0	3.72	1.48	2.5	1.47	0.8	0.47	0	3.44	0	3.71	4.82	1.71	11.71	7.63	5.9	5.86	0	0	0	0	0	0	0	0	0	4.07	6.99	6.65	6.41	5.92	0	0	0	0	0	0	8.95	5.54	0	0	3.87	2.12	0	0.7	3.3	3.98	7.34	7.59	0.67	6.7		4.85	2.85	1.17	0.37	2.59	1.03	1.96	0	9.95	8.74	11.8	5.92	1.48	2.21	1.03	4.82	4.05	9.61	7.15	0	7.96	6.99	3.04	1.35	1.07	2.15	3.35	0	12.27	2.55	9.52	0.77	0.43	8.96	0	2.82	3.86	7.36	19.36	9.6	11.66	10.76	21.76	13.04	21.05	2.97	5.43	5.03	2.63	4.78	0.79	1.42	0	0.54	1.3	12.5	3.88	13.14	22.69	3.6	20.82	7.54	19.84	5.12	5.38	4.21	21.45	2.6	7.9	10.61	11.36	1.93	1.32	4.65	2.27	6.92	0	chr16	47666033	47669214	3182	47666353	320
chr11	118611138	118611139	PHLDB1_118611138	0.337652	+	1	0	0	1	PHLDB1	HsaINT1026842	chr11:118606673-118613293	6621	chr11:118606440-118606672=118613294-118613450:+	IR	46.67	91.67	50	100			100	100				63.64		100	100	84.62	100	100		100		100			32.69		100	100	100	100		100			100								73.33	100	50	100								100	100			100					25	42.86	84.62	0	6.67	29.87	53.33	100			27.27		10.53		41.18	52.94	100	100	100				100	100	100		0	33.33	71.43	100	100		100							100			100	32.89	20	100	100	100	100	50	40.46	0	100	33.33		71.43	33.33	100		100		100	100	100	100	100	12.5	100		100			60	88.24			100	100	20			100		chr11	118606673	118613293	6621	118611139	4466
chr11	118628967	118628968	PHLDB1_118628967	0.293213	+	0	0	1	1	PHLDB1	HsaINT0124304	chr11:118628651-118631206	2556	chr11:118627305-118628650=118631207-118631479:+	IR	5.84	3.98	5.59	0.74	9.48	19.08	65.35	7.55		8.62	100		0.7	4.5	4.07	5.37	2.78	8.12	1.66		11.58	5.75	0	5.56	7.85	0	7.48	8.76	8.17	3.48	13.58	2.78	8.62						100	100			3.37	3.23	4.28	3.95	6.56			100		27.39	5.91	10.17	7.51	1.14	3.53	2.15	2.52	4.2	10.08	1.88	3.45	4.79	10.97	5.23	11.63	10.08	7.39	5.47	13.98	7.97	9.98	3.59	10.6	8.62	27.39	16.56	28.03	11.89	3.19	6.31	1.85	13.91		100	12.95	5.16	2.4	2.68	3.37	1.55	4.94	3.36	9.48		1.34	2.29	4.95	1.76	0.92	100		4.45	4.05	0	44	44	100	58.58	10.54	36.72	53.35	8.96	14.86	12.76	17.65	2.8	4.46	4.57	0	8.03	2.65	1.93	9.31	9.56	9.19	5.35	11.79	2.17	0	9.6	0	3.78	7.64	3.69	14.63	0	7.18	4.76	3.09	0	100	12.07		chr11	118628651	118631206	2556	118628968	317
chr3	111953660	111953661	PHLDB2_111953660	0.134522	+	1	0	0	1	PHLDB2	HsaINT0124317	chr3:111952713-111953929	1217	chr3:111952572-111952712=111953930-111954029:+	IR	24.7	8.82	6.34	1.48	18.83	31.22	0	9.97		26.84	40.48	5.61	25.77	43.18	26.24	9.74	19.06	8.11	13.1		5.99	0	10.83	0	6.22	6.86	8.8	13.84	9.26	42.64	16.51	26.86	11.54	0	8.85		0	0		0			12.72	19.54	20.02	13.21	16.18	0	100			0	15.05	12.07	18.15	1	2.09	4.96	0.29	21.25	4.66	2.4	38.44	16.46	12.44	4.26	14.24	4.55	7.93	12.07	3.14	5.12	29.75	9.55	22.31	9.94	19.95	17.67	39.35	20.72	6.97	6.45	3.58	24.99		37.78	17.76	0	15.55	12.04	5.35	1.71	3.89	0	6.14		0	68.61	100	0	10.83		0	0	15.16	14.09	14.49	19.11	21.66	16.28	23.2	32.7	30.06	10.75	14.65	18.91	18.21	11.9	8.16	8.47	0	42.15	10.9	25.25	16.13	47.78	61.54	15.37	29.81	11.71	23.44	18	0	22.45	39.14	13.94	27.79	100	28.49	10.52	8.59	22.57	12.19	24.46	0	chr3	111952713	111953929	1217	111953661	948
chr7	77845824	77845825	PHTF2_77845824	0.500744	+	0	0	1	1	PHTF2	HsaINT1026853	chr7:77840301-77893607	53307	chr7:77840221-77840300=77893608-77893664:+	IR	1.83	0	0	0	1.82	0	0	0	40.74	0.74	1.89		3.57	1.74	0	0	0	0	0	0	0	0	0	0	2.73	0	1.33	1.48	2.56	7.32	5.08	11.11	0	0	0	0.14	0	0.13	0	0	0	0	4.03	2.84	1.8	1.85	7.25	0	0.88	0	0	0	0	3.12	1.39	0	2.04	0.44	0	0	6.25	0	0	1.41	2.22	0	0.4	0.96	0.68	0.61	0	0	2.86	0	0	0	2.86	4.76	3.12	1.33	0	1.33	2.58	0.57	60	1.86	2.25	0	0.41	0.39	0	0	0	0	0	100	0.82	0	0.47	0	0	0	0	0	0	0	27.27	10.11	15.45	2.67	11.11	12.5	2.86	0	0	1.74	0.95	0.84	0	2.56	0	0	0	3.03	6.18	8.18	4.08	2.04	3.72	2.5	20	1.33	0	0	3.18	0	13.33	7.14	7.06	0	0	0	0	1.96	0	chr7	77840301	77893607	53307	77845825	5524
chr7	77950138	77950139	PHTF2_77950138	0.351649	+	0	1	1	2	PHTF2	HsaINT0124433	chr7:77949834-77951616	1783	chr7:77949678-77949833=77951617-77951712:+	IR	23.04	26.25	8.73	3.12	3.81	0	33.28	2.99	84.59	34.5	63.82		21.51	40.84	10.83	17.74	0	4.31	7.79	19.65	5	12.39	0.65	0	7.38	13.93	5.68	5.94	5.51	14.27	56.33	9.74	7.98	0	0	0	0	0	1.21	0	0	0	14	17.23	33.7	24.2	26.72		0	0		0	0	10.58	20.03	0	2.87	5.09	5.32	0	0.89	1.69	0	3.13	17.8	0.56	9.49	9.04	15.83	8.29	8.07	0	20.48		16.06	0	10.26	16.11	14.21	21.98	4.06	4.8	3.37	3.45	19.54	59.33	12.55	0	2.16	1.67	11.77	10.53	10.55	11.47	8.92	100	13.94	11.96	14.25	11.55	6.43	74.83	0	7.43	5.41	66.36	60.71	50.35	66.88	46.56	61.98	52.07	49.77	6.01	4.12	4.98	8.78	8.23	14.39	8.29	0	0	0	2.23	6.27	32.2	25.78	28.34	18.83	16.13	69.06	10.12	6.85	8.12	10.01	5.72	22.49	34.11	28.18	8.09	10.38	19.23	14.08	5.47	0	chr7	77949834	77951616	1783	77950139	305
chr4	25257036	25257037	PI4K2B_25257036	0.546009	+	0	1	0	1	PI4K2B	HsaINT0124501	chr4:25256675-25259036	2362	chr4:25256543-25256674=25259037-25259190:+	IR	9.64	34.5	7.44	0	18.18	7.69	21.67	5.6	10.12	13.89	25.35	0	0	22.75	70.37	56.92	4.76	3.4	9.17	5.43	4.57	1.99	1.04	0	13.22	0	13.21	4.35	6.22	16.28	23.4	33.33	20	0	0	0	0	0	0	13.89	9.35	7.69	27.9	24.68	12.76	17.43	38.46	0	33.33		0	0	0	9.46	8.06	4.35	1.46	2.61	1.71	3.03	4.86	0	22.22	61.54	13.91	14.29	33.33	27.06	7.54	4.39	7.19	0	8.57	0	11.69	0	17.5	2.89	16.5	12.44	5.6	3.92	4.38	6.14	14.29	41.4	11.24	0	12.5	13.04	4.05	8	5.56	3.45	0	100	54.29	44.83	69.23	15.79	27.27	63.64	0	11.11	18.33	15.29	11.32	8.82	16.67	11.01	13.6	8.84	15.79	8.7	11.76	17.89	11.48	15.58	13.18	7.46		6.67	36	11.11	8.62	35.69	51.85	11.17	28.3	13.79	50	14.2		2.56	12.5	9.18	34.21	16.13	23.19	10.65	7.58	10.81	4.84	19.15	0	chr4	25256675	25259036	2362	25257037	362
chr22	20765531	20765532	PI4KA_20765531	0.163871	-	1	1	0	2	PI4KA	HsaINT0124540	chr22:20765237-20765584	348	chr22:20765585-20765693=20765100-20765236:-	IR	4.41		0	0	2.3	0	7.7	3.22	7.51	4.21	6.12	54.1	27.26	4.86	1.19	2.12	0	4.67	0	1.26	1.16	1.95	1.99	0	8.88	2.3	5.1	4.93	0.81	7.39	8.93	0.69	0		0		0		0	0			1.53	1.49	4.65	1.6	2.7	0	0		0		0	4.78	2.98	2.55	1.64	1.26	0.97	2.19	32.04	2.16	0.45	0.56	4.7	0	8.51		2.94	2.01	4.5	5.56	6.31	0	3.73	0	5.02	3.26	4.97	3.61	0.38	1.13	1.39	1.26	50.53	20.15	4.33	0	1.23	0	1.71	0.58	0	1.03	0	8.62	1.45	4.11	11.04	0.67	0	20.75	0	0	1.69	9.98	15.49	30.22	22.7	19.14	23.05	32.44	28.72	2.51	1.78	4.02	5.88	2.36	0	0.45	0	0.3	0.34	4.39	15.39	10.71	11.88	2.55	7.03	0.88	0.23	1.68	0	0.49	3.55	1.21	3.32	3.6	10.03	0.45	1.4	1.58	0.66	1.79	0	chr22	20765237	20765584	348	20765532	52
chr22	20810800	20810801	PI4KA_20810800	0.366382	-	1	0	0	1	PI4KA	HsaINT0124558	chr22:20807459-20810966	3508	chr22:20810967-20811032=20807362-20807458:-	IR	0.83		0	0	1.66	0	0.22	1.09	0	0.44	0.3	0	0	0.62	0.59	0.88	0	0	0	0.23	0	0.22	0	1.67	1.87	0	1.2	0.78	0.63	5.26	3.99	1.05	0	0			0		0		0		1.05	1.13	0.98	0.47	1.71		0		0	0	0	1.26	1.51	0	0.3	0	0	0	5.15	0.5	0.12	0.16	1.92	0.91	3.04		1.52	0.53	2.01	32	1.33	1.8	0.83	0	6.36	0	2.65	1.41	0	0	0	1.05	4.32	1.61	1.21	0	0	0	0.44	0	0	0	0	0	1.13	1.12	0.6	0	0.37	7.27	0	1.41	0	2.02	3.06	3.66	7.28	3.45	4.62	5.18	1.6	0.51	2.02	1.08	1.77	3.98	0.82	0	0	0	0	5.66	3.96	5.11	5.51	1.27	5.38	0.28	7.77	1.66	0.5	0	3.94	0.15	3.31	1.21	1.53	0.68	0	0	0	0.61	0	chr22	20807459	20810966	3508	20810801	165
chr15	68186672	68186673	PIAS1_68186672	0.379842	+	0	1	1	2	PIAS1	HsaINT0124604	chr15:68183668-68187541	3874	chr15:68183630-68183667=68187542-68193846:+	IR	19.38		5.31	6.51	10.29	2.54	5.9	4.95	9.09	9.4	24.07	14.55	12.6	18.14	9.58	10.38	5.1	8.23	7.08	5.37	7.22	5.3	1.54	0	12.14	6.47	8.31	12.39	12.65	16.79	19.55	2.28	2.88	0.03	0	0	0	0	1.66	0	0	0.81	10.74	12.01	16.01	10.3	15.19	0.56	2.76	2.93	0	0	3.87	20.56	13.1	0	2.84	10.84	6.11	7.36	5.06	2.2	6.51	11.71	15.35	2.52	19.02		21.67	5.5	5.41	3.21	4.5	5.95	11.73	0	23.71	25.33	16.44	15.87	8.76	7.81	5.56	1.45	22.75	30.82	14.58	4.86	7.68	2.05	9.83	6.11	2.17	2.58	6.32	9.97	4.87	9.79	5.2	6.13	2.26	6.18	0.02	5.37	4.1	5.56	9	10.85	7.65	9.06	7.06	12.34	6.95	10.12	9.63	7.38	19.82	6.9	7.3	5.36	0	2.43	1.51	9.84	15.65	24.72	15.34	19.09	29.68	10.16	29.38	10.98	3.29	3.17	19.86	1.11	37.14	31.05	14.43	6.5	6.37	17.87	4.9	3.43	0	chr15	68183668	68187541	3874	68186673	3005
chr11	85981412	85981413	PICALM_85981412	0.121724	-	0	1	0	1	PICALM	HsaINT0124677	chr11:85981229-85981744	516	chr11:85981745-85981775=85981129-85981228:-	IR	4.52	0.18	0	0	1.43	0	2.18	0.45	0.99	0.13	0.24	1.25	0.71	7.43	0.35	1.74	0.15	0	0	0.83	0.15	0	0	0	1.38	0	2.15	1.53	0.77	6.46	8.95	0.28	0	0	0	0	0	0	0	2.25	0	0	0.46	0.95	1.73	0.45	2.09	0	0	0	0	0	0	2.34	1.89	0	0.36	0	0	0.36	0.62	0	0.32	0.09	0.68	0	2.84	0.59	1.08	0.67	0	0	1.27	0	0.62	0	7.55	3.92	3.88	1.1	0.08	0	0.07	0.18	1.94	5.37	2.14	0	0.71	0	0	0	0	0	0	0	1.37	0.78	0.37	0	0	1.05	0	0.21	0.16	0.41	0.9	0.87	1.56	0.79	0.84	0.8	0.58	0.25	1.38	1.59	1.29	2.33	0	0	0	0.63	0	6.94	1.89	3.02	3.65	0.96	10.43	0	10.53	1.94	0	0	5.49	0	15.07	8.12	8.16	0.76	0	0.04	0	1.67	0	chr11	85981229	85981744	516	85981413	331
chr11	85996676	85996677	PICALM_85996676	0.189448	-	0	0	1	1	PICALM	HsaINT0124673	chr11:85990379-85996825	6447	chr11:85996826-85996929=85990250-85990378:-	IR	17.43	6.18	6.08	5.45	6.87	0.98	3.31	18.36	19.59	42.37	37	15.38	7.64	22.16	37.38	43.28	1.57	28.49	42.19	31.56	15.43	12.18	38.96	3.61	36.7	9.06	19.03	22.92	25.65	27.48	28.67	10.39	3.25	21.99	17.64	25.64	2.88	5.72	12.03	10.61	15.57	3.43	49.86	41.07	8.56	23.71	26.37	0	9.06	2.78	0	15	4.17	9.94	8.92	3.57	13.19	19.47	18.09	5	53.8	5.29	21.78	52.46	11.34	3.19	5.96	5.38	13.54	13.96	8.22	5.84	17.4	4.92	7.89	19.04	16.93	15.58	18.9	11.53	11.99	14.95	11.17	10.68	19.82	63.77	15.3	22.47	21.91	10.96	11.28	10.98	9.33	8.75	9.29	100	43.35	47.22	37.02	6.4	18.14	7.72	14.29	7.02	4.33	24.13	37.04	31.57	31.28	29.69	18.88	49.5	38.79	3.94	3.75	8.82	10.38	30.21	19.34	20.27	38.24	52.89	36.82	18.4	43.28	31.44	25.36	26.23	21.54	6.18	63.32	22.4	36.53	18.81	17.97	16.78	38.03	72.39	24.15	8.43	5.78	13.66	26.16	36.86	5.55	chr11	85990379	85996825	6447	85996677	148
chr22	38068963	38068964	PICK1_38068963	0.129732	+	0	0	1	1	PICK1	HsaINT0124696	chr22:38067771-38069032	1262	chr22:38067704-38067770=38069033-38069122:+	IR	12.33		7.69	1.96	7.98	12.9	18.52	14.67	18.52	9.26	13.25		17.33	12.04	1.96	3.97	21.74	4.97	4.26	13.46	3.18	12.82	2.33	0	1.99	2.27	4.67	6.92	12.7	6.75	20.75	4.44	22.22	0	0		0	0	0	0	0		2.59	4.32	16.67	5.19	6.95	0	0	0	0	0	11.11	15.38	8.2	1.4	8.13	7.94	23.88	7.37	1.08	7.44	3.56	2.47	14.82	1.63	8.88		17.02	3.58	3.15	3.75	4.76	4.41	10.13	0.78	18.39	5.77	16.18	7.24	15.54	17.72	11.22	2.67	0	18.84	10.94	1.49	11.11	6.98	9.7	9.52	13.79	5	9.26	0	1.23	8.7	2.44	2.33	1.12	0		2.5	13.62	41.46	41.67	23.62	23.6	25.81	20.3	25.53	17.24	18.73	9.35	28	12.39	12.32	9.45	8.11	6.53	3.11	0	22.51	3.11	15.11	4.48	7.92	22.88	18.63	35.71	8.86	0.26	3.62	33.02	10.52	60	3.85	6.98	12.82	8.58	12.82	4.42	7.1	0	chr22	38067771	38069032	1262	38068964	1193
chr18	10707147	10707148	PIEZO2_10707147	0.230342	-	0	0	1	1	RP11-856M7.2	HsaINT1038562	chr18:10705715-10709184	3470	chr18:10705344-10705714=10709185-10709599:+	IR	100		100	100	100		100	100					100	100	100	100	100	100		100	100		100		100				100	100	100	100											100	100	100	100	100					100		100		100	100	100	100	100	100	100	100	100	100				100		100	100	100		100	100	100	100	100	100	100	100	100			100	100				100	100	100	100						100	100	100		100	100	100			100		100	100						100	100	100			100					100	100	100	100	100	100	52.24	28.49	58.74			100	100	100			100		chr18	10705715	10709184	3470	10707148	2036
chr18	10754680	10754681	PIEZO2_10754680	0.311571	-	0	0	1	1	PIEZO2	HsaINT1026901	chr18:10752880-10757968	5089	chr18:10757969-10758134=10752636-10752879:-	IR	100		0		6.85		33.33	3.62						18.51	0	13.5				1.94	6.17	0	0		0				4.9	9.73	6.04	4							0				0	17.41	4.9	5.88	0					0		9.72	0	2.39	0	2.38	1.73	4.83	11.17	5.14	13.72	11.11	23.42				7.96	0	47.6	5.45	14.64	0	20.47	0	14.92	11.26	7.82	9.98	0	7.24	1.37		50		12.94			0	4.7	0	0	0			0	0	11.4	0		35.24		0	9.33		100	100	100	33.33	75.18	50	100	0		33.33		50.72	3.03	0		50	0		33.33	0	17.41	4.9	9.46	0		11.11	0		20.47	8.18	0	0	14.64	1.81	0			19.22		chr18	10752880	10757968	5089	10754681	3287
chr18	10786722	10786723	PIEZO2_10786722	0.129027	-	1	0	0	1	PIEZO2	HsaINT0060915	chr18:10784958-10787035	2078	chr18:10787036-10787184=10784784-10784957:-	IR			0	0	0		0	1.81	0		0		0	13.92	9.97	0		0		2.63	2.28	0	1.07		0				0	10.39	23.32	3.07							0	0			2.4	11	3.43	7.09	18.13							4.47		0	1	1.48	0.42	0	8.97	0	0	6.09	5.95		100		6.12		4.83	15.95			0	0	20.82	30.69	9.97	3.47	0	0	1.19		0		3.42		0	0	2.48	1.89	0	2.87		0	0	30.69	0	0	0	4.81		0	0	20.99	22.23	0			100		30.69		100			2.4	2.3	0				0	11.73	4.78	30.69	0	10.28	4.69		16.87		0	9.97	3.65	0	0	6.87	1.51	0			0		chr18	10784958	10787035	2078	10786723	312
