candidate_group	GENE	EVENT	COORD	intron_length	chr	strand	decoyID	start	end	decoy_coord_1based	decoy_distance_from_canonical_5ss	intron_start	intron_end	mESC_lift_Chr	mESC_lift_Start	mESC_lift_End	mESC_ir_Chr	mESC_ir_Start	mESC_ir_End	mESC_ir_gene	mESC_IRratio_mean	mESC_IR_overlap_bp	psi_count_ge10	psi_count_ge10_brain	brain_retained	SpliceAI_score	phastCons100_mean	phastCons470_mean	MaxEnt_decoy	MaxEnt_canonical
	MEIKIN	HsaINT1048041	chr5:131911880-131916885	5006	chr5	-	MEIKIN_131916430	131916430	131916431	131916431	454	131911880	131916885	chr11	54398097	54398211	chr11	54395586	54398455	Meikin	0	115	15	4	TRUE	0.221529	0.105221	0.139401	8.38	7.69
	MEIOB	HsaINT1022776	chr16:1834367-1839254	4888	chr16	-	MEIOB_1837003	1837003	1837004	1837004	2250	1834367	1839254	chr17	24837504	24837578	chr17	24836523	24839426	Meiob	0	75	82	18	TRUE	0.038091	0.0488073	0.0627787	9.22	7.76
	MEIOB	HsaINT0021182	chr16:1860476-1861984	1509	chr16	-	MEIOB_1860916	1860916	1860917	1860917	1067	1860476	1861984	chr17	24819431	24819490	chr17	24816590	24819871	Meiob	0	60	16	5	TRUE	0.146821	0.0328012	0.0715488	9.43	10.36
	MEIOB	HsaINT0021181	chr16:1862117-1865777	3661	chr16	-	MEIOB_1865001	1865001	1865002	1865002	775	1862117	1865777	chr17	24817640	24817685	chr17	24816590	24819871	Meiob	0	46	21	3	TRUE	0.037799	0.0766329	0.0799657	8.88	-19.07
	MEIS2	HsaINT0101940	chr15:37096431-37097966	1536	chr15	-	MEIS2_37097266	37097266	37097267	37097267	699	37096431	37097966	chr2	116062265	116062443	chr2	116061570	116063187	Meis2	0.00297210666666667	179	51	9	TRUE	0.145156	0.416796	0.542914	5.26	3.32
	MELK	HsaINT0101970	chr9:36589653-36594627	4975	chr9	+	MELK_36593659	36593659	36593660	36593660	4007	36589653	36594627	chr4	44308569	44308786	chr4	44307107	44312163	Melk	0.0598952666666667	218	26	0	FALSE	0.311876	0.0808909	0.0764161	10.75	-28.22
	MELK	HsaINT0101971	chr9:36594772-36597221	2450	chr9	+	MELK_36595508	36595508	36595509	36595509	737	36594772	36597221	chr4	44309913	44309972	chr4	44307107	44312163	Melk	0.0598952666666667	60	16	1	FALSE	0.097858	0.0488878	0.0390031	9.46	-38.5
	MELK	HsaINT0101972	chr9:36597291-36599393	2103	chr9	+	MELK_36597939	36597939	36597940	36597940	649	36597291	36599393	chr4	44310970	44311058	chr4	44307107	44312163	Melk	0.0598952666666667	89	4	0	FALSE	0.004641	0.179912	0.253402	3.28	-14.04
	MELK	HsaINT0101975	chr9:36630368-36633101	2734	chr9	+	MELK_36631938	36631938	36631939	36631939	1571	36630368	36633101	chr4	44325395	44325541	chr4	44324269	44325640	Melk	0.0741504	147	4	0	FALSE	0.096519	0.239161	0.26659	9.46	-23.08
	MELK	HsaINT0101965	chr9:36669407-36670997	1591	chr9	+	MELK_36669814	36669814	36669815	36669815	408	36669407	36670997	chr4	44349950	44350021	chr4	44349941	44350941	Melk	0.0230462333333333	72	5	1	FALSE	0.029886	0.0428881	0.04606	6.43	-32.48
	MELTF	HsaINT0102312	chr3:197023114-197024302	1189	chr3	-	MELTF_197023794	197023794	197023795	197023795	507	197023114	197024302	chr16	31884596	31884661	chr16	31883944	31884943	Meltf	0	66	46	6	TRUE	0.009642	0.0188251	0.0374027	6.05	9.16
	MELTF	HsaINT0102312	chr3:197023114-197024302	1189	chr3	-	MELTF_197023796	197023796	197023797	197023797	505	197023114	197024302	chr16	31884596	31884661	chr16	31883944	31884943	Meltf	0	66	46	6	TRUE	0.010259	0.0188251	0.0374027	5.29	9.16
	MEMO1	HsaINT1022802	chr2:31883463-31891991	8529	chr2	-	MEMO1_31886787	31886787	31886788	31886788	5203	31883463	31891991	chr17	74220459	74220678	chr17	74202366	74225431	Memo1	0.0305466	220	30	3	TRUE	0.510267	0.188732	0.305352	10.86	9.65
	MEP1B	HsaINT1022825	chr18:32192818-32195406	2589	chr18	+	MEP1B_32194007	32194007	32194008	32194008	1190	32192818	32195406	chr18	21076541	21076628	chr18	21076388	21080429	Mep1b	0	88	38	10	TRUE	0.015725	0.0572426	0.0365085	5.56	-11.18
	MEPE	HsaINT0102030	chr4:87834769-87838631	3863	chr4	+	MEPE_87837570	87837570	87837571	87837571	2802	87834769	87838631	chr5	104327253	104327368	chr5	104327133	104337073	Mepe	0	116	16	3	TRUE	0.233736	0.0523381	0.0760857	8.76	-35.84
	MEPE	HsaINT1022831	chr4:87838686-87839684	999	chr4	+	MEPE_87838965	87838965	87838966	87838966	280	87838686	87839684	chr5	104333542	104333658	chr5	104327133	104337073	Mepe	0	117	19	6	TRUE	0.068814	0.106856	0.134032	6.43	-7.49
	MESP1	HsaINT0102055	chr15:89750228-89750508	281	chr15	-	MESP1_89750442	89750442	89750443	89750443	65	89750228	89750508	chr7	79792743	79792794	chr7	79792592	79792864	Mesp1	0	52	25	3	TRUE	0.191857	0.0210036	0.0298399	9.16	6.1
	MEST	HsaINT1022832	chr7:130502721-130503932	1212	chr7	+	MEST_130503434	130503434	130503435	130503435	714	130502721	130503932	chr6	30745950	30745984	chr6	30745907	30746261	Mest	0.00193217	35	3	0	FALSE	0.179202	0.0409926	0.0634349	9.57	-42.41
	METAP1	HsaINT0102091	chr4:99057819-99061153	3335	chr4	+	METAP1_99058233	99058233	99058234	99058234	415	99057819	99061153	chr3	138461722	138461778	chr3	138460501	138462364	Metap1	0.0378518333333333	57	29	6	TRUE	0.066913	0.0607094	0.0510063	10.29	-21.93
	METAP2	HsaINT0102116	chr12:95496099-95504064	7966	chr12	+	METAP2_95503713	95503713	95503714	95503714	7615	95496099	95504064	chr10	93868658	93868719	chr10	93865504	93868866	Metap2	0.0132862333333333	62	8	1	FALSE	0.162705	0.12686	0.0252805	9.94	-16.19
	METAP2	HsaINT0102117	chr12:95504162-95511894	7733	chr12	+	METAP2_95508713	95508713	95508714	95508714	4552	95504162	95511894	chr10	93864555	93864631	chr10	93863034	93865406	Metap2	0.0279568666666667	77	2	1	FALSE	0.037625	0.0493129	0.04362	9.26	-15.63
	METTL13	HsaINT0102173	chr1:171782121-171783739	1619	chr1	+	METTL13_171783656	171783656	171783657	171783657	1536	171782121	171783739	chr1	162546528	162546607	chr1	162539000	162548103	Eef1aknmt	0.0867949	80	11	2	FALSE	0.117787	0.0371742	0.0398464	8.68	-18.97
	METTL13	HsaINT1022840	chr1:171784500-171785878	1379	chr1	+	METTL13_171785632	171785632	171785633	171785633	1133	171784500	171785878	chr1	162545398	162545486	chr1	162539000	162548103	Eef1aknmt	0.0867949	89	2	1	FALSE	0.077409	0.0677172	0.114058	7.23	-42.63
	METTL13	HsaINT0102175	chr1:171787931-171790451	2521	chr1	+	METTL13_171788264	171788264	171788265	171788265	334	171787931	171790451	chr1	162541730	162541840	chr1	162537332	162542257	Eef1aknmt	0.02057781	111	20	4	TRUE	0.135631	0.044693	0.0233643	9.6	-18.97
	METTL15	HsaINT0102151	chr11:28290398-28296796	6399	chr11	+	METTL15_28296501	28296501	28296502	28296502	6104	28290398	28296796	chr2	109135564	109135649	chr2	109131664	109137340	Mettl15	0	86	142	26	TRUE	0.037304	0.141471	0.131987	8.54	-28.47
	METTL16	HsaINT0102131	chr17:2438199-2441489	3291	chr17	-	METTL16_2439424	2439424	2439425	2439425	2064	2438199	2441489	chr11	74803901	74803937	chr11	74803901	74805252	Mettl16	0.103022233333333	37	12	2	FALSE	0.279603	0.0684977	0.0375213	10.08	5.5
	METTL21B	HsaINT0059645	chr12:57773129-57780254	7126	chr12	+	METTL21B_57777633	57777633	57777634	57777634	4505	57773129	57780254	chr10	127033473	127033602	chr10	127033315	127040987	Eef1akmt3	0.833497333333333	130	98	21	TRUE	0.085691	0.0524006	0.0797376	7.8	-9.77
	METTL21B	HsaINT0059645	chr12:57773129-57780254	7126	chr12	+	METTL21B_57779182	57779182	57779183	57779183	6054	57773129	57780254	chr10	127033473	127033602	chr10	127033315	127040987	Eef1akmt3	0.833497333333333	130	98	21	TRUE	0.097288	0.0524006	0.0797376	9.79	-9.77
	METTL21C	HsaINT0020457	chr13:102686426-102686939	514	chr13	-	METTL21C_102686667	102686667	102686668	102686668	271	102686426	102686939	chr1	44010089	44010157	chr1	44010034	44010531	Mettl21c	0	69	54	13	TRUE	0.024097	0.0156732	0.0236133	8.41	4.07
	METTL21C	HsaINT0020457	chr13:102686426-102686939	514	chr13	-	METTL21C_102686672	102686672	102686673	102686673	266	102686426	102686939	chr1	44010089	44010157	chr1	44010034	44010531	Mettl21c	0	69	54	13	TRUE	0.029119	0.0156732	0.0236133	10.07	4.07
	METTL21C	HsaINT0020455	chr13:102690965-102694368	3404	chr13	-	METTL21C_102691287	102691287	102691288	102691288	3080	102690965	102694368	chr1	44014211	44014283	chr1	44013774	44017185	Mettl21c	0	73	32	4	TRUE	0.418072	0.0579004	0.0430255	10.65	9.24
	METTL25	HsaINT0020038	chr12:82477353-82478931	1579	chr12	+	METTL25_82478256	82478256	82478257	82478257	904	82477353	82478931	chr10	105764851	105764937	chr10	105763462	105765219	Mettl25	0.0550877666666667	87	44	14	TRUE	0.24075	0.117885	0.188807	9.85	-23.08
	METTL4	HsaINT0102219	chr18:2539146-2544194	5049	chr18	-	METTL4_2540666	2540666	2540667	2540667	3527	2539146	2544194	chr17	94728580	94728652	chr17	94727396	94733088	Mettl4	0.0835924333333333	73	56	11	TRUE	0.132405	0.126087	0.147513	8.54	8.14
	METTL4	HsaINT0102216	chr18:2547530-2552694	5165	chr18	-	METTL4_2547938	2547938	2547939	2547939	4755	2547530	2552694	chr17	71539070	71539170	chr17	71537288	71543436	Mettl4-ps1	0	101	21	2	FALSE	0.141012	0.0651208	0.055845	11.08	9.66
	METTL9	HsaINT0102241	chr16:21612836-21617864	5029	chr16	+	METTL9_21614317	21614317	21614318	21614318	1482	21612836	21617864	chr7	121049123	121049223	chr7	121048029	121052086	Mettl9	0.0253595	101	1	0	FALSE	0.034371	0.052515	0.0775744	9.45	-9.43
	MET	HsaINT0102088	chr7:116757775-116758458	684	chr7	+	MET_116758288	116758288	116758289	116758289	514	116757775	116758458	chr6	17534575	17534688	chr6	17534259	17534941	Met	0	114	10	0	FALSE	0.317632	0.105352	0.14393	11	-15.64
	MET	HsaINT0102076	chr7:116775112-116777388	2277	chr7	+	MET_116776805	116776805	116776806	116776806	1694	116775112	116777388	chr6	17553800	17553918	chr6	17553470	17555546	Met	0	119	12	2	FALSE	0.037636	0.224445	0.281724	7.97	-21.4
	MFAP1	HsaINT0102249	chr15:43817449-43824490	7042	chr15	-	MFAP1_43817675	43817675	43817676	43817676	6814	43817449	43824490	chr2	121506353	121506453	chr2	121502870	121506462	Mfap1a	0.142135333333333	101	9	0	FALSE	0.361338	0.0855997	0.0574781	10.22	10.26
	MFAP5	HsaINT0102276	chr12:8660899-8662046	1148	chr12	-	MFAP5_8661181	8661181	8661182	8661182	864	8660899	8662046	chr6	122514830	122514930	chr6	122514401	122520578	Mfap5	0	101	9	2	FALSE	0.10148	0.0190592	0.031008	9.21	10.1
	MFF	HsaINT0102289	chr2:227332589-227340291	7703	chr2	+	MFF_227335729	227335729	227335730	227335730	3141	227332589	227340291	chr1	82732832	82732915	chr1	82729437	82735418	Mff	0.00506829333333333	84	1	0	FALSE	0.043827	0.0873676	0.0573874	9.6	-29.58
	MFN1	HsaINT0102328	chr3:179348964-179351899	2936	chr3	+	MFN1_179351595	179351595	179351596	179351596	2632	179348964	179351899	chr3	32532596	32532676	chr3	32532017	32534237	Mfn1	0.0353867333333333	81	7	1	FALSE	0.014687	0.0581114	0.0682535	6.39	-19.24
	MFN1	HsaINT0102320	chr3:179375342-179377041	1700	chr3	+	MFN1_179375670	179375670	179375671	179375671	329	179375342	179377041	chr3	32561822	32561881	chr3	32561587	32563011	Mfn1	0.0778636666666667	60	108	24	TRUE	0.060263	0.0694012	0.177216	4.28	-16.19
	MFN1	HsaINT0102320	chr3:179375342-179377041	1700	chr3	+	MFN1_179375820	179375820	179375821	179375821	479	179375342	179377041	chr3	32561822	32561881	chr3	32561587	32563011	Mfn1	0.0778636666666667	60	108	24	TRUE	0.313581	0.0694012	0.177216	8.72	-16.19
	MFN1	HsaINT0102326	chr3:179386630-179390003	3374	chr3	+	MFN1_179388801	179388801	179388802	179388802	2172	179386630	179390003	chr3	32569767	32569834	chr3	32569685	32574233	Mfn1	0.0144877033333333	68	13	4	TRUE	0.147755	0.0427057	0.066393	10.51	-30.68
	MFN2	HsaINT1022876	chr1:11982115-11989164	7050	chr1	+	MFN2_11989122	11989122	11989123	11989123	7008	11982115	11989164	chr4	147902736	147902851	chr4	147898643	147903354	Mfn2	0.00430343333333333	116	6	0	FALSE	0.18691	0.0835765	0.0695014	9.65	-22.93
	MFSD13A	HsaINT0168730	chr10:102469198-102469992	795	chr10	+	MFSD13A_102469874	102469874	102469875	102469875	677	102469198	102469992	chr19	46366647	46366698	chr19	46356985	46367209	Mfsd13a	0.154525	52	15	1	FALSE	0.348831	0.0680881	0.0566346	5.42	-12.67
	MFSD13A	HsaINT0168730	chr10:102469198-102469992	795	chr10	+	MFSD13A_102469882	102469882	102469883	102469883	685	102469198	102469992	chr19	46366647	46366698	chr19	46356985	46367209	Mfsd13a	0.154525	52	15	1	FALSE	0.12811	0.0680881	0.0566346	9.79	-12.67
	MFSD1	HsaINT0102371	chr3:158809288-158813964	4677	chr3	+	MFSD1_158812951	158812951	158812952	158812952	3664	158809288	158813964	chr3	67589974	67590026	chr3	67589940	67592569	Mfsd1	0.00736622666666667	53	0	0	FALSE	0.053564	0.0348414	0.0398976	7.91	-29.25
	MFSD1	HsaINT0102367	chr3:158827338-158828978	1641	chr3	+	MFSD1_158828921	158828921	158828922	158828922	1584	158827338	158828978	chr3	67602131	67602216	chr3	67601380	67602694	Mfsd1	0.0340628333333333	86	16	7	TRUE	0.07817	0.0963863	0.090167	9.6	-17.62
	MFSD2B	HsaINT0102415	chr2:24010193-24013284	3092	chr2	+	MFSD2B_24012025	24012025	24012026	24012026	1833	24010193	24013284	chr12	4871615	4871757	chr12	4871502	4874270	Mfsd2b	1	143	58	13	TRUE	0.269503	0.0406155	0.0542006	8.41	-27.26
	MFSD3	HsaINT0102427	chr8:144510016-144510359	344	chr8	+	MFSD3_144510069	144510069	144510070	144510070	54	144510016	144510359	chr15	76702528	76702570	chr15	76702351	76702643	Mfsd3	0.853881333333333	43	79	16	TRUE	0.036927	0.0333547	0.0418622	6.99	-13.06
	MFSD6	HsaINT0102446	chr2:190488819-190489767	949	chr2	+	MFSD6_190489226	190489226	190489227	190489227	408	190488819	190489767	chr1	52662755	52662807	chr1	52662489	52663284	Mfsd6	0	53	27	4	TRUE	0.038083	0.0237977	0.0354289	4.83	-29.64
	MFSD6	HsaINT0102446	chr2:190488819-190489767	949	chr2	+	MFSD6_190489246	190489246	190489247	190489247	428	190488819	190489767	chr1	52662755	52662807	chr1	52662489	52663284	Mfsd6	0	53	27	4	TRUE	0.005326	0.0237977	0.0354289	4.87	-29.64
	MFSD8	HsaINT1022897	chr4:127930818-127932984	2167	chr4	-	MFSD8_127931803	127931803	127931804	127931804	1180	127930818	127932984	chr3	40825760	40825854	chr3	40823962	40826873	Mfsd8	0.0520136666666667	95	29	4	TRUE	0.009585	0.0419109	0.0616454	9.55	10.74
	MFSD9	HsaINT0102474	chr2:102719208-102723699	4492	chr2	-	MFSD9_102722773	102722773	102722774	102722774	925	102719208	102723699	chr1	40776984	40777057	chr1	40774547	40781380	Mfsd9	0	74	18	5	TRUE	0.090128	0.0138435	0.0129001	6.3	10.65
	MGAM2	HsaINT0095429	chr7:142136641-142137432	792	chr7	+	MGAM2_142136809	142136809	142136810	142136810	169	142136641	142137432	chr6	40799637	40799785	chr6	40799310	40800281	Mgam2-ps	0	149	19	1	FALSE	0.021389	0.0321237	0.0447348	4.58	-4.26
	MGAM	HsaINT0102541	chr7:142021084-142021585	502	chr7	+	MGAM_142021482	142021482	142021483	142021483	399	142021084	142021585	chr6	40654891	40654936	chr6	40654717	40655213	Mgam	0	46	12	2	FALSE	0.089146	0.0178247	0.0222626	7.7	-9.78
	MGAM	HsaINT0102502	chr7:142030758-142031679	922	chr7	+	MGAM_142031106	142031106	142031107	142031107	349	142030758	142031679	chr6	40661791	40661902	chr6	40661727	40662595	Mgam	0	112	15	4	TRUE	0.161112	0.0190813	0.0189162	10.65	-24.58
	MGAM	HsaINT0102506	chr7:142034842-142036168	1327	chr7	+	MGAM_142035771	142035771	142035772	142035772	930	142034842	142036168	chr6	40668023	40668133	chr6	40667021	40668171	Mgam	0	111	17	4	TRUE	0.299517	0.0200814	0.032907	8.83	-25.59
	MGAM	HsaINT1022910	chr7:142062703-142063498	796	chr7	+	MGAM_142063467	142063467	142063468	142063468	765	142062703	142063498	chr6	40725356	40725413	chr6	40677074	40740062	Mgam	0	58	19	8	TRUE	0.061854	0.0264359	0.0182889	4.44	-31.1
	MGAM	HsaINT1022910	chr7:142062703-142063498	796	chr7	+	MGAM_142063472	142063472	142063473	142063473	770	142062703	142063498	chr6	40725356	40725413	chr6	40677074	40740062	Mgam	0	58	19	8	TRUE	0.06733	0.0264359	0.0182889	9.81	-31.1
	MGAM	HsaINT1022915	chr7:142096416-142097592	1177	chr7	+	MGAM_142097248	142097248	142097249	142097249	833	142096416	142097592	chr6	40730651	40730715	chr6	40677074	40740062	Mgam	0	65	56	14	TRUE	0.009332	0.0196321	0.0128799	4.36	-23.3
	MGARP	HsaINT0024190	chr4:139275393-139280076	4684	chr4	-	MGARP_139278469	139278469	139278470	139278470	1606	139275393	139280076	chr3	51393400	51393469	chr3	51391929	51396426	Mgarp	0.0231608666666667	70	26	10	TRUE	0.037623	0.0642387	0.0828445	8.56	11.45
	MGAT4A	HsaINT0102560	chr2:98640229-98643922	3694	chr2	-	MGAT4A_98643402	98643402	98643403	98643403	519	98640229	98643922	chr1	37454690	37454713	chr1	37452630	37454743	Mgat4a	0	24	17	2	FALSE	0.155487	0.0382025	0.0477433	10.08	9.07
	MGAT4A	HsaINT0102556	chr2:98656466-98658217	1752	chr2	-	MGAT4A_98656879	98656879	98656880	98656880	1337	98656466	98658217	chr1	37465046	37465191	chr1	37464535	37466536	Mgat4a	0.0009844	146	12	0	FALSE	0.033726	0.0437985	0.0693105	5.46	9.35
	MGAT4A	HsaINT0102555	chr2:98658265-98663045	4781	chr2	-	MGAT4A_98661328	98661328	98661329	98661329	1716	98658265	98663045	chr1	37489728	37489785	chr1	37466584	37490259	Mgat4a	0.10064995	58	8	0	FALSE	0.03986	0.0895175	0.0815816	5.71	8.88
	MGAT4A	HsaINT0102555	chr2:98658265-98663045	4781	chr2	-	MGAT4A_98661801	98661801	98661802	98661802	1243	98658265	98663045	chr1	37489728	37489785	chr1	37466584	37490259	Mgat4a	0.10064995	58	8	0	FALSE	0.032448	0.0895175	0.0815816	8.41	8.88
	MGAT4B	HsaINT0102568	chr5:179798592-179798927	336	chr5	-	MGAT4B_179798858	179798858	179798859	179798859	68	179798592	179798927	chr11	50233869	50233941	chr11	50233658	50234082	Mgat4b	0.0696795333333333	73	16	2	FALSE	0.007641	0.0422887	0.0878935	3.16	6.52
	MGAT4B	HsaINT0102574	chr5:179800598-179800906	309	chr5	-	MGAT4B_179800845	179800845	179800846	179800846	60	179800598	179800906	chr11	50231975	50232012	chr11	50231786	50232023	Mgat4b	0.0293998666666667	38	8	0	FALSE	0.000684	0.0544401	0.0668188	0.61	7.15
	MGAT4C	HsaINT0102585	chr12:85980431-85983522	3092	chr12	-	MGAT4C_85983022	85983022	85983023	85983023	499	85980431	85983522	chr10	102386409	102386477	chr10	102385154	102388221	Mgat4c	0	69	4	1	FALSE	0.011764	0.0287034	0.056061	4.05	10.07
	MGAT5	HsaINT0102596	chr2:134336289-134338258	1970	chr2	+	MGAT5_134337950	134337950	134337951	134337951	1662	134336289	134338258	chr1	127384202	127384321	chr1	127382993	127384767	Mgat5	0	120	10	1	FALSE	0.029069	0.0735	0.115994	7.87	-26
	MGAT5	HsaINT0102598	chr2:134341760-134344929	3170	chr2	+	MGAT5_134342519	134342519	134342520	134342520	760	134341760	134344929	chr1	127387803	127387990	chr1	127387513	127390743	Mgat5	0	188	16	3	TRUE	0.246297	0.147927	0.167008	10.29	-19.28
	MGA	HsaINT0102492	chr15:41697024-41698862	1839	chr15	+	MGA_41698600	41698600	41698601	41698601	1577	41697024	41698862	chr2	119919556	119919601	chr2	119917374	119919625	Mga	0.0764783	46	1	0	FALSE	0.026783	0.0641082	0.0757535	7.7	-14.74
	MGA	HsaINT0102477	chr15:41727407-41729163	1757	chr15	+	MGA_41728705	41728705	41728706	41728706	1299	41727407	41729163	chr2	119931969	119932027	chr2	119931932	119932503	Mga	0.0297080666666667	59	10	1	FALSE	0.088119	0.0881138	0.13802	5.56	-30.51
	MGA	HsaINT0102481	chr15:41740204-41748636	8433	chr15	+	MGA_41743552	41743552	41743553	41743553	3349	41740204	41748636	chr2	119941188	119941433	chr2	119938787	119946171	Mga	0.0555745666666667	246	89	17	TRUE	0.384745	0.196445	0.224277	10.77	-26
	MGA	HsaINT0102486	chr15:41757840-41760322	2483	chr15	+	MGA_41759391	41759391	41759392	41759392	1552	41757840	41760322	chr2	119957875	119957946	chr2	119952927	119958156	Mga	0.0536288333333333	72	26	10	TRUE	0.019004	0.0736347	0.142199	7.09	-11.72
	MGLL	HsaINT0102687	chr3:127721164-127722429	1266	chr3	-	MGLL_127721663	127721663	127721664	127721664	765	127721164	127722429	chr6	88808879	88808953	chr6	88808148	88809335	Mgll	0	75	2	0	FALSE	0.197137	0.0780885	0.0783331	10.07	9.26
	MGME1	HsaINT0023019	chr20:17970371-17975683	5313	chr20	+	MGME1_17972275	17972275	17972276	17972276	1905	17970371	17975683	chr2	144272924	144273009	chr2	144272485	144276314	Mgme1	0.0949508333333333	86	84	7	TRUE	0.090898	0.0764756	0.0823738	8.68	-25.6
	MGRN1	HsaINT0102707	chr16:4681777-4682822	1046	chr16	+	MGRN1_4682677	4682677	4682678	4682678	901	4681777	4682822	chr16	4930618	4930664	chr16	4927902	4930690	Mgrn1	0.1195054	47	11	0	FALSE	0.000464	0.00797228	0.0102816	1.87	-24.99
	MGST1	HsaINT0102719	chr12:16357700-16363794	6095	chr12	+	MGST1_16361878	16361878	16361879	16361879	4179	16357700	16363794	chr6	138152508	138152612	chr6	138147816	138156131	Mgst1	0	105	1	0	FALSE	0.081388	0.0267075	0.0463587	9.06	-23.08
	MGST2	HsaINT0102725	chr4:139695268-139703454	8187	chr4	+	MGST2_139700852	139700852	139700853	139700853	5585	139695268	139703454	chr3	51678817	51678955	chr3	51664611	51681796	Mgst2	0	139	0	0	FALSE	0.042751	0.209779	0.174501	5.45	-10.29
	MIA2	HsaINT0102736	chr14:39237056-39240560	3505	chr14	+	MIA2_39240303	39240303	39240304	39240304	3248	39237056	39240560	chr12	59103551	59103716	chr12	59101605	59104474	Mia2	0	166	10	4	TRUE	0.058038	0.054067	0.0727637	8.82	-12.77
	MIA3	HsaINT0102751	chr1:222621293-222624767	3475	chr1	+	MIA3_222623350	222623350	222623351	222623351	2058	222621293	222624767	chr1	183365335	183365421	chr1	183362132	183365646	Mia3	0.0354185333333333	87	12	1	FALSE	0.159554	0.0284622	0.0354937	8.88	-12.77
	MIB1	HsaINT0102781	chr18:21765944-21768622	2679	chr18	+	MIB1_21766150	21766150	21766151	21766151	207	21765944	21768622	chr18	10741577	10741652	chr18	10741155	10743268	Mib1	0.043816	76	3	0	FALSE	0.125516	0.0702553	0.106456	7.46	-12.67
	MIB1	HsaINT0102781	chr18:21765944-21768622	2679	chr18	+	MIB1_21767399	21767399	21767400	21767400	1456	21765944	21768622	chr18	10741577	10741652	chr18	10741155	10743268	Mib1	0.043816	76	3	0	FALSE	0.07173	0.0702553	0.106456	8.55	-12.67
	MIB1	HsaINT0102789	chr18:21799975-21803906	3932	chr18	+	MIB1_21801269	21801269	21801270	21801270	1295	21799975	21803906	chr18	10768018	10768064	chr18	10763323	10768123	Mib1	0.01619139	47	0	0	FALSE	0.120384	0.0667818	0.117203	9.16	-39.61
	MIB1	HsaINT0102771	chr18:21804015-21815615	11601	chr18	+	MIB1_21810812	21810812	21810813	21810813	6798	21804015	21815615	chr18	10769959	10770029	chr18	10768232	10775528	Mib1	0.00774931	71	16	1	FALSE	0.000123	0.0974077	0.0851949	-17.2	-21.4
	MIB1	HsaINT0102772	chr18:21815814-21819494	3681	chr18	+	MIB1_21815884	21815884	21815885	21815885	71	21815814	21819494	chr18	10776320	10776407	chr18	10775727	10778148	Mib1	0.0923636	88	9	0	FALSE	0.106922	0.0775979	0.111911	9.26	-20.45
	MIB1	HsaINT0102778	chr18:21849389-21853139	3751	chr18	+	MIB1_21851849	21851849	21851850	21851850	2461	21849389	21853139	chr18	10801031	10801127	chr18	10800249	10802260	Mib1	0.139992733333333	97	5	3	TRUE	0.369879	0.0968182	0.142398	9.26	-14.74
	MICAL3	HsaINT0102867	chr22:17889231-17891484	2254	chr22	-	MICAL3_17890564	17890564	17890565	17890565	919	17889231	17891484	chr6	121026822	121026907	chr6	121024836	121026965	Mical3	0.02487394	86	45	9	TRUE	0.480828	0.0758984	0.0884316	11.08	9.11
	MICAL3	HsaINT0102884	chr22:17895411-17896245	835	chr22	-	MICAL3_17895578	17895578	17895579	17895579	666	17895411	17896245	chr6	121033313	121033424	chr6	121031124	121033697	Mical3	0.01235312	112	16	4	TRUE	0.106852	0.0293425	0.0291209	8.56	8.73
	MICAL3	HsaINT0102882	chr22:17896982-17899447	2466	chr22	-	MICAL3_17897591	17897591	17897592	17897592	1855	17896982	17899447	chr6	121036049	121036165	chr6	121034288	121036472	Mical3	0	117	61	6	TRUE	0.055088	0.0500069	0.0644145	9.8	5.03
	MICAL3	HsaINT0102881	chr22:17899549-17900841	1293	chr22	-	MICAL3_17899841	17899841	17899842	17899842	999	17899549	17900841	chr6	121037338	121037418	chr6	121036574	121037443	Mical3	0	81	11	2	FALSE	0.016881	0.0313766	0.028318	3.77	8.08
	MICALL1	HsaINT0102919	chr22:37927827-37931798	3972	chr22	+	MICALL1_37929632	37929632	37929633	37929633	1806	37927827	37931798	chr15	79129576	79129635	chr15	79127334	79129808	Micall1	0	60	13	2	FALSE	0.129906	0.0264955	0.0199842	9.37	-18.97
	MICALL2	HsaINT0102928	chr7:1448762-1450239	1478	chr7	-	MICALL2_1448924	1448924	1448925	1448925	1314	1448762	1450239	chr5	139721765	139721812	chr5	139719386	139721947	Micall2	0	48	109	16	TRUE	0.310273	0.00988769	0.0122417	8.84	10.1
	MICU2	HsaINT0054333	chr13:21503098-21510003	6906	chr13	-	MICU2_21503175	21503175	21503176	21503176	6827	21503098	21510003	chr14	57926534	57926639	chr14	57924112	57927196	Micu2	0.209776666666667	106	19	4	TRUE	0.011877	0.111838	0.0496613	8.4	8.88
	MICU2	HsaINT0054333	chr13:21503098-21510003	6906	chr13	-	MICU2_21503187	21503187	21503188	21503188	6815	21503098	21510003	chr14	57926534	57926639	chr14	57924112	57927196	Micu2	0.209776666666667	106	19	4	TRUE	0.044184	0.111838	0.0496613	6.84	8.88
	MICU2	HsaINT0054333	chr13:21503098-21510003	6906	chr13	-	MICU2_21503191	21503191	21503192	21503192	6811	21503098	21510003	chr14	57926534	57926639	chr14	57924112	57927196	Micu2	0.209776666666667	106	19	4	TRUE	0.044814	0.111838	0.0496613	4.29	8.88
